OCN,Org Name,CN,Cert
"0069","Green Mountain Long Distance Corp","SHAKEN 0069","https://certificates.clearip.com/6caa5359-ccee-4f90-a981-87f1d613e5e1/facec864626fa03783a838272ad83a51.pem"
"006K","Rayfield Communications, Inc.","SHAKEN Rayfield Communications, Inc. 006K","https://cr.sansay.com/Rayfield_Communications_Inc._006K"
"009G","Hawaiian Telcom","Hawaiian Telcom SHAKEN Cert 009G","https://cdn-cr.cgah.tnsi.com/certs/d9fd0052c420d93208011ac9911e79e422d0edd4"
"009G","Hawaiian Telcom","Hawaiian Telcom SHAKEN 009G","https://cdn-cr.cgah.tnsi.com/certs/e41b2df552e335b829a64d4d88a3bf63bb39b248"
"0127","Andrew Ward Consulting LLC","SHAKEN 0127","https://certificates.clearip.com/649d9560-7197-4132-94b4-40da224ec372/26a1c9d33f6b36046d2ba09b3888f93d.pem"
"0127","Andrew Ward Consulting LLC","SHAKEN 0127","https://certificates.clearip.com/649d9560-7197-4132-94b4-40da224ec372/37f2c90b8fa7ef36619a96bd202aa348.pem"
"0127","Andrew Ward Consulting LLC","SHAKEN 0127","https://certificates.clearip.com/649d9560-7197-4132-94b4-40da224ec372/808242d4f4e788234c2c0570fdc0aee6.pem"
"0127","Andrew Ward Consulting LLC","SHAKEN 0127","https://certificates.clearip.com/649d9560-7197-4132-94b4-40da224ec372/a7c9ee898f2d0a59760f07246b29e7e4.pem"
"012J","Apeiron Systems","SHAKEN Apeiron Systems 012J","https://cr.sansay.com/012J/429C7C70711E3820F0B8E1DEAE6FF326226490A7.pem"
"012J","Apeiron Systems","SHAKEN Apeiron Systems 012J","https://cr.sansay.com/012J/429C7C70711E3820F0B8E1DEAE6FF32622649A26.pem"
"012J","Apeiron Systems","SHAKEN Apeiron Systems 012J","https://cr.sansay.com/012J/429C7C70711E3820F0B8E1DEAE6FF32622649C59.pem"
"012J","Apeiron Systems","SHAKEN Apeiron Systems 012J","https://cr.sansay.com/012J/429C7C70711E3820F0B8E1DEAE6FF32622649EF0.pem"
"012J","Apeiron Systems","SHAKEN Apeiron Systems 012J","https://cr.sansay.com/012J/429C7C70711E3820F0B8E1DEAE6FF3262264A1FE.pem"
"012J","Apeiron Systems","SHAKEN Apeiron Systems 012J","https://cr.sansay.com/012J/429C7C70711E3820F0B8E1DEAE6FF3262264A471.pem"
"012J","Apeiron Systems","SHAKEN Apeiron Systems 012J","https://cr.sansay.com/012J/429C7C70711E3820F0B8E1DEAE6FF3262264A6C1.pem"
"012J","Apeiron Systems","SHAKEN Apeiron Systems 012J","https://cr.sansay.com/012J/429C7C70711E3820F0B8E1DEAE6FF3262264A9CD.pem"
"012J","Apeiron Systems","SHAKEN Apeiron Systems 012J","https://cr.sansay.com/012J/429C7C70711E3820F0B8E1DEAE6FF3262264AC32.pem"
"012J","Apeiron Systems","SHAKEN Apeiron Systems 012J","https://cr.sansay.com/Apeiron_012J"
"012K","CallCurrent, Inc.","SHAKEN 012K","https://certificates.clearip.com/06ebd24a-1f0a-46d5-8a2f-a7ae49be8ed6/03ebe0e235fb7201e89dc7f6e5bfbb88.pem"
"012K","CallCurrent, Inc.","SHAKEN 012K","https://certificates.clearip.com/06ebd24a-1f0a-46d5-8a2f-a7ae49be8ed6/18732b1bbab445541a26bef947ebbc54.pem"
"012K","CallCurrent, Inc.","SHAKEN 012K","https://certificates.clearip.com/06ebd24a-1f0a-46d5-8a2f-a7ae49be8ed6/2152a0e3368d4700cceae753e65fca62.pem"
"012K","CallCurrent, Inc.","SHAKEN 012K","https://certificates.clearip.com/06ebd24a-1f0a-46d5-8a2f-a7ae49be8ed6/289871882cc2f4bbdbbf477328810177.pem"
"012K","CallCurrent, Inc.","SHAKEN 012K","https://certificates.clearip.com/06ebd24a-1f0a-46d5-8a2f-a7ae49be8ed6/2c1e4db240fccac7055f4b33e37c7c42.pem"
"012K","CallCurrent, Inc.","SHAKEN 012K","https://certificates.clearip.com/06ebd24a-1f0a-46d5-8a2f-a7ae49be8ed6/44fd20fbd3a8a28ecb48a0c47f1dff6e.pem"
"012K","CallCurrent, Inc.","SHAKEN 012K","https://certificates.clearip.com/06ebd24a-1f0a-46d5-8a2f-a7ae49be8ed6/543ba92127142d1a47ea129ae0737174.pem"
"012K","CallCurrent, Inc.","SHAKEN 012K","https://certificates.clearip.com/06ebd24a-1f0a-46d5-8a2f-a7ae49be8ed6/61a9933e5f84265b6d9bb7b0431bb13b.pem"
"012K","CallCurrent, Inc.","SHAKEN 012K","https://certificates.clearip.com/06ebd24a-1f0a-46d5-8a2f-a7ae49be8ed6/63fa8efd0a6d2b427c76b6ecbfcef1e8.pem"
"012K","CallCurrent, Inc.","SHAKEN 012K","https://certificates.clearip.com/06ebd24a-1f0a-46d5-8a2f-a7ae49be8ed6/821067db1f13499e692b442267437469.pem"
"012K","CallCurrent, Inc.","SHAKEN 012K","https://certificates.clearip.com/06ebd24a-1f0a-46d5-8a2f-a7ae49be8ed6/9109055b24f9f44f61eb0830bde1d3d6.pem"
"012K","CallCurrent, Inc.","SHAKEN 012K","https://certificates.clearip.com/06ebd24a-1f0a-46d5-8a2f-a7ae49be8ed6/94516521ff61f5a51c828f9aaf9bf951.pem"
"012K","CallCurrent, Inc.","SHAKEN 012K","https://certificates.clearip.com/06ebd24a-1f0a-46d5-8a2f-a7ae49be8ed6/948a7eb202bae27161b20d86e11aedce.pem"
"012K","CallCurrent, Inc.","SHAKEN 012K","https://certificates.clearip.com/06ebd24a-1f0a-46d5-8a2f-a7ae49be8ed6/98370ad076b3853607cafeee0ea6052e.pem"
"012K","CallCurrent, Inc.","SHAKEN 012K","https://certificates.clearip.com/06ebd24a-1f0a-46d5-8a2f-a7ae49be8ed6/b5f371a8394e0f61a333909fa2a1c2bb.pem"
"012K","CallCurrent, Inc.","SHAKEN 012K","https://certificates.clearip.com/06ebd24a-1f0a-46d5-8a2f-a7ae49be8ed6/b88eb4c05b6c9f85c4fd8124b8013097.pem"
"012K","CallCurrent, Inc.","SHAKEN 012K","https://certificates.clearip.com/06ebd24a-1f0a-46d5-8a2f-a7ae49be8ed6/bd1ab0653650fa783acdaad70200006f.pem"
