Not After,OCN,Org Name,Cert
"10 Aug 24 11:45 UTC","688K","Sansay Corporation","https://cdn.cnxcdn.com/shaken/73.crt"
"12 Apr 25 05:52 UTC","849K","Martini Security, LLC","https://cdn.cnxcdn.com/shaken/a3a9136d93.crt"
"25 Jun 25 18:28 UTC","811K","Peeringhub Inc","https://cdn.cnxcdn.com/shaken/b52cc7c2ce.crt"
"04 Apr 24 16:27 UTC","452K","Sansay Corporation","https://cdn.cnxcdn.com/shaken/c015310d91.crt"
"22 May 25 18:36 UTC","139K","Neustar Information Services Inc","https://cdn.pgxn.net/sti/20250522.cer"
"17 Oct 24 17:32 UTC","510J","Neustar Information Services Inc","https://cdn.simwood.com/shaken/simwood_2023.crt"
"01 Jul 25 17:05 UTC","962J","Neustar Information Services Inc","https://cert.46labs.com/cert.pem"
"01 Jul 25 17:58 UTC","4036","Neustar Information Services Inc","https://cert2.sticr.att.net:8443/sti-cr/att-stica1719858820982-cert.crt"
"01 May 25 00:00 UTC","800J","NetNumber Inc","https://certificate.zt.plivo.com/cert20250501.crt"
"19 Jul 24 15:35 UTC","208K","TransNexus, Inc.","https://certificates.clearip.com/000b56ea-b4c8-46f2-89e0-ac03650b1b97/03d346413af5c594e37a89d6749c39ad.pem"
"04 Jun 24 15:31 UTC","208K","TransNexus, Inc.","https://certificates.clearip.com/000b56ea-b4c8-46f2-89e0-ac03650b1b97/0b20c6ea35db7ba0e64e4e55da82faa9.pem"
"01 Nov 23 14:42 UTC","208K","TransNexus, Inc.","https://certificates.clearip.com/000b56ea-b4c8-46f2-89e0-ac03650b1b97/0f48f5ab225167c1ff6483da7b905cb5.pem"
"12 Aug 24 15:38 UTC","208K","TransNexus, Inc.","https://certificates.clearip.com/000b56ea-b4c8-46f2-89e0-ac03650b1b97/12096991af64de8dfbbfdec324ecdd93.pem"
"29 May 24 15:31 UTC","208K","TransNexus, Inc.","https://certificates.clearip.com/000b56ea-b4c8-46f2-89e0-ac03650b1b97/15f2b6fc2cae6606eddb95ec4ceab34f.pem"
"30 Aug 24 15:40 UTC","208K","TransNexus, Inc.","https://certificates.clearip.com/000b56ea-b4c8-46f2-89e0-ac03650b1b97/1d5a16c40363a5f0b511026cb6272f80.pem"
"23 Oct 23 14:40 UTC","208K","TransNexus, Inc.","https://certificates.clearip.com/000b56ea-b4c8-46f2-89e0-ac03650b1b97/26ad29b643f0d1af3a9225109e5caef5.pem"
"18 Aug 24 15:38 UTC","208K","TransNexus, Inc.","https://certificates.clearip.com/000b56ea-b4c8-46f2-89e0-ac03650b1b97/277722d2ca939f021205602d1dd9dbde.pem"
"26 May 24 15:31 UTC","208K","TransNexus, Inc.","https://certificates.clearip.com/000b56ea-b4c8-46f2-89e0-ac03650b1b97/2ab605123c3c74655ee7ca85dc484f67.pem"
"07 Jun 24 15:31 UTC","208K","TransNexus, Inc.","https://certificates.clearip.com/000b56ea-b4c8-46f2-89e0-ac03650b1b97/2e000bd7ad8699b4e0a1518b1ba5e0c3.pem"
"17 Sep 24 15:42 UTC","208K","TransNexus, Inc.","https://certificates.clearip.com/000b56ea-b4c8-46f2-89e0-ac03650b1b97/3f2952b22cc4042788ba4403519dd264.pem"
"08 May 24 15:28 UTC","208K","TransNexus, Inc.","https://certificates.clearip.com/000b56ea-b4c8-46f2-89e0-ac03650b1b97/3ffcc512380f2d5a71098c2a14e06f26.pem"
"19 Jun 24 15:33 UTC","208K","TransNexus, Inc.","https://certificates.clearip.com/000b56ea-b4c8-46f2-89e0-ac03650b1b97/4a101caff7f9c05989ff0e52214bc0cb.pem"
"16 Jun 24 15:33 UTC","208K","TransNexus, Inc.","https://certificates.clearip.com/000b56ea-b4c8-46f2-89e0-ac03650b1b97/5f16d05dc254da5d906e11d5ad958da7.pem"
"23 May 24 15:30 UTC","208K","TransNexus, Inc.","https://certificates.clearip.com/000b56ea-b4c8-46f2-89e0-ac03650b1b97/6467c8020a297f85dd58540da5cea2d3.pem"
"28 Jul 24 15:36 UTC","208K","TransNexus, Inc.","https://certificates.clearip.com/000b56ea-b4c8-46f2-89e0-ac03650b1b97/673b1f4c7f137211491e0d3d97c01855.pem"
"14 Oct 23 14:40 UTC","208K","TransNexus, Inc.","https://certificates.clearip.com/000b56ea-b4c8-46f2-89e0-ac03650b1b97/6832c7d1c7f66848ec55c8916332094b.pem"
"31 Jul 24 15:36 UTC","208K","TransNexus, Inc.","https://certificates.clearip.com/000b56ea-b4c8-46f2-89e0-ac03650b1b97/70cf7f35defd4ef8567c885f52d737fe.pem"
"10 Jul 24 15:35 UTC","208K","TransNexus, Inc.","https://certificates.clearip.com/000b56ea-b4c8-46f2-89e0-ac03650b1b97/7c250c81a7f66299e49e1e72c21bf6b2.pem"
"20 Oct 23 14:40 UTC","208K","TransNexus, Inc.","https://certificates.clearip.com/000b56ea-b4c8-46f2-89e0-ac03650b1b97/82aafab245ed61745f06e3cedc94edbf.pem"
"25 Jun 24 15:33 UTC","208K","TransNexus, Inc.","https://certificates.clearip.com/000b56ea-b4c8-46f2-89e0-ac03650b1b97/962f2ce0bd1158bc7952bf86722a9aa4.pem"
"29 Oct 23 14:41 UTC","208K","TransNexus, Inc.","https://certificates.clearip.com/000b56ea-b4c8-46f2-89e0-ac03650b1b97/968a83ac656959fb67621065aa2c3007.pem"
"21 Jan 24 14:48 UTC","208K","TransNexus, Inc.","https://certificates.clearip.com/000b56ea-b4c8-46f2-89e0-ac03650b1b97/9c70ec4416e3792ce591e2dea97c345e.pem"
"02 Sep 24 15:40 UTC","208K","TransNexus, Inc.","https://certificates.clearip.com/000b56ea-b4c8-46f2-89e0-ac03650b1b97/9d5027b4c72f8805bd9bcb7748b3a7d1.pem"
"17 Oct 23 14:40 UTC","208K","TransNexus, Inc.","https://certificates.clearip.com/000b56ea-b4c8-46f2-89e0-ac03650b1b97/a28e210d24bff36406312ec5d8e8ebaa.pem"
"24 Aug 24 15:39 UTC","208K","TransNexus, Inc.","https://certificates.clearip.com/000b56ea-b4c8-46f2-89e0-ac03650b1b97/a3e94d4067829309f924a8b06ca1cbd1.pem"
"17 May 24 15:29 UTC","208K","TransNexus, Inc.","https://certificates.clearip.com/000b56ea-b4c8-46f2-89e0-ac03650b1b97/a6fa6a21e1050435a4447df0e1564bc3.pem"
"19 Dec 23 14:45 UTC","208K","TransNexus, Inc.","https://certificates.clearip.com/000b56ea-b4c8-46f2-89e0-ac03650b1b97/adcc4e2a9dd5ee4a6c0bafbc2720b7d6.pem"
"11 May 24 15:29 UTC","208K","TransNexus, Inc.","https://certificates.clearip.com/000b56ea-b4c8-46f2-89e0-ac03650b1b97/b1558a8d8b60b390bb0f4178913589bd.pem"
"16 Jul 24 15:35 UTC","208K","TransNexus, Inc.","https://certificates.clearip.com/000b56ea-b4c8-46f2-89e0-ac03650b1b97/b1df2844a8bab24dfa020185b972d004.pem"
"13 Jun 24 15:33 UTC","208K","TransNexus, Inc.","https://certificates.clearip.com/000b56ea-b4c8-46f2-89e0-ac03650b1b97/bb452d479d59672bf89f24c12da54927.pem"
"18 Jan 24 14:48 UTC","208K","TransNexus, Inc.","https://certificates.clearip.com/000b56ea-b4c8-46f2-89e0-ac03650b1b97/bf05753fa007f63e8c3661bc6ddcab1d.pem"
"24 Jan 24 14:49 UTC","208K","TransNexus, Inc.","https://certificates.clearip.com/000b56ea-b4c8-46f2-89e0-ac03650b1b97/c1ecd1747132180c7797d9a23cca995a.pem"
"04 Jul 24 15:34 UTC","208K","TransNexus, Inc.","https://certificates.clearip.com/000b56ea-b4c8-46f2-89e0-ac03650b1b97/c3a94f43bc695634cae15313315ff8e4.pem"
"27 Jan 24 14:49 UTC","208K","TransNexus, Inc.","https://certificates.clearip.com/000b56ea-b4c8-46f2-89e0-ac03650b1b97/c43c4f1a609841bbdd752abb57789f9a.pem"
"26 Oct 23 14:41 UTC","208K","TransNexus, Inc.","https://certificates.clearip.com/000b56ea-b4c8-46f2-89e0-ac03650b1b97/c60a2fd9ff2651afdda5698d5755fba0.pem"
"27 Aug 24 15:39 UTC","208K","TransNexus, Inc.","https://certificates.clearip.com/000b56ea-b4c8-46f2-89e0-ac03650b1b97/cb750a24dfe86582ab0d60a03dfde8e1.pem"
"30 Jan 24 14:49 UTC","208K","TransNexus, Inc.","https://certificates.clearip.com/000b56ea-b4c8-46f2-89e0-ac03650b1b97/cfa205cb523c0c742bbb485a50198658.pem"
