OCN,Org Name,CN,Cert
"313K","CIMA Telecom, Inc","SHAKEN CIMA Telecom, Inc 313K","https://cr.sansay.com/313K/429C7C70711E3820F0B8E1DEAE6FF3262264CB5A.pem"
"321K","Talk IT Pro","SHAKEN 321K","https://cr.sansay.com/321K/429C7C70711E3820F0B8E1DEAE6FF3262264BFF0.pem"
"324E","MagicJack","SHAKEN MagicJack 324E","https://sns.magicjack.com/MagicJack_2511_324E.crt"
"324E","MagicJack","SHAKEN 324E","https://sns.magicjack.com/Magicjack_2602_324E.crt"
"3395","PNG Telecommunications Inc","SHAKEN 3395","https://cr.sansay.com/3395/429C7C70711E3820F0B8E1DEAE6FF3262264CB80.pem"
"3395","PNG Telecommunications Inc","SHAKEN 3395","https://cr.sansay.com/3395/429C7C70711E3820F0B8E1DEAE6FF3262264C2B3.pem"
"351K","Dorial Telecom, LLC","SHAKEN 351K","https://cr.sansay.com/351K/429C7C70711E3820F0B8E1DEAE6FF3262264C032.pem"
"363A","IDT America, Corp","SHAKEN IDT America, Corp 363A","https://cr.sansay.com/363A/429C7C70711E3820F0B8E1DEAE6FF3262264CC8B.pem"
"363A","IDT America, Corp","SHAKEN IDT America, Corp 363A","https://cr.sansay.com/363A/429C7C70711E3820F0B8E1DEAE6FF3262264CCAF.pem"
"363A","IDT America, Corp","SHAKEN IDT America, Corp 363A","https://cr.sansay.com/363A/429C7C70711E3820F0B8E1DEAE6FF3262264CA99.pem"
"363A","IDT America, Corp","SHAKEN IDT America, Corp 363A","https://cr.sansay.com/363A/429C7C70711E3820F0B8E1DEAE6FF3262264CDAC.pem"
"363A","IDT America, Corp","SHAKEN IDT America, Corp 363A","https://cr.sansay.com/363A/429C7C70711E3820F0B8E1DEAE6FF3262264CBC7.pem"
"363A","IDT America, Corp","SHAKEN IDT America, Corp 363A","https://cr.sansay.com/363A/429C7C70711E3820F0B8E1DEAE6FF3262264CABA.pem"
"363A","IDT America, Corp","SHAKEN IDT America, Corp 363A","https://cr.sansay.com/363A/429C7C70711E3820F0B8E1DEAE6FF3262264CB47.pem"
"363A","IDT America, Corp","SHAKEN IDT America, Corp 363A","https://cr.sansay.com/363A/429C7C70711E3820F0B8E1DEAE6FF3262264CC49.pem"
"363A","IDT America, Corp","SHAKEN IDT America, Corp 363A","https://cr.sansay.com/363A/429C7C70711E3820F0B8E1DEAE6FF3262264CA07.pem"
"363A","IDT America, Corp","SHAKEN IDT America, Corp 363A","https://cr.sansay.com/363A/429C7C70711E3820F0B8E1DEAE6FF3262264CD88.pem"
"363A","IDT America, Corp","SHAKEN IDT America, Corp 363A","https://cr.sansay.com/363A/429C7C70711E3820F0B8E1DEAE6FF3262264CBA4.pem"
"363A","IDT America, Corp","SHAKEN IDT America, Corp 363A","https://cr.sansay.com/363A/429C7C70711E3820F0B8E1DEAE6FF3262264CBE8.pem"
"363A","IDT America, Corp","SHAKEN IDT America, Corp 363A","https://cr.sansay.com/363A/429C7C70711E3820F0B8E1DEAE6FF3262264CC68.pem"
"363A","IDT America, Corp","SHAKEN IDT America, Corp 363A","https://cr.sansay.com/363A/429C7C70711E3820F0B8E1DEAE6FF3262264CD62.pem"
"363A","IDT America, Corp","SHAKEN IDT America, Corp 363A","https://cr.sansay.com/363A/429C7C70711E3820F0B8E1DEAE6FF3262264CB6C.pem"
"363A","IDT America, Corp","SHAKEN IDT America, Corp 363A","https://cr.sansay.com/363A/429C7C70711E3820F0B8E1DEAE6FF3262264CCD3.pem"
"382G","Terra Nova Telecom","SHAKEN 382G","https://cr.tntelecom.net/382G-2025.pem"
"3849","Magna5, LLC","SHAKEN 3849","https://cr.sansay.com/3849/429C7C70711E3820F0B8E1DEAE6FF3262264CB85.pem"
"388K","ConvergeTel LLC","SHAKEN 388K","https://cr.sansay.com/388K/429C7C70711E3820F0B8E1DEAE6FF3262264C020.pem"
"389K","VOIP OFFICE","SHAKEN VOIP OFFICE.COM LLC 389K","https://voucs.voipoffice.com/stirshaken/389K.chain.crt.pem"
"455K","Cloud Connect LLC","SHAKEN 455K Cloud Connect LLC","https://sproxy1.teleserosuite.com/Cloud_Connect_LLC_2025_2"
"463K","Godaddy","SHAKEN 463K","https://cr.sansay.com/463K/429C7C70711E3820F0B8E1DEAE6FF3262264C198.pem"
"493K","ComTelus Inc. ","SHAKEN 493K","https://cr.sansay.com/493K/429C7C70711E3820F0B8E1DEAE6FF3262264C49D.pem"
"5113","Consolidated Communications","SHAKEN 5113","https://cr.sansay.com/5113/429C7C70711E3820F0B8E1DEAE6FF3262264CB74.pem"
"521K","Voice SY LLC","SHAKEN 521K","https://voice.peeredge.com/cert/rvXrJQSz.pem"
"525G","Telebroad","SHAKEN 525G","https://cr.sansay.com/525G/429C7C70711E3820F0B8E1DEAE6FF3262264C9A2.pem"
"525K","AU Telecom","SHAKEN 525K","https://ssc.getsipnav.com/certs/0a31260426020902a005c5dcd884b592b83f62e2"
"548J","Quality Voice & Data Inc.","SHAKEN 548J Quality Voice & Data Inc.","https://cr.sansay.com/548J/429C7C70711E3820F0B8E1DEAE6FF3262264BCFD.pem"
"554a","Socket Telecom LLC","SHAKEN Socket Telecom LLC 554a","https://cr.sansay.com/554a/429C7C70711E3820F0B8E1DEAE6FF3262264CD8E.pem"
"554a","Socket Telecom LLC","SHAKEN Socket Telecom LLC 554a","https://cr.sansay.com/554a/429C7C70711E3820F0B8E1DEAE6FF3262264CD69.pem"
"554a","Socket Telecom LLC","SHAKEN Socket Telecom LLC 554a","https://cr.sansay.com/554a/429C7C70711E3820F0B8E1DEAE6FF3262264CBA8.pem"
"554a","Socket Telecom LLC","SHAKEN Socket Telecom LLC 554a","https://cr.sansay.com/554a/429C7C70711E3820F0B8E1DEAE6FF3262264CA31.pem"
"557F","Lightspeed Voice","SHAKEN Lightspeed Voice 557F","https://cr.sansay.com/557F/429C7C70711E3820F0B8E1DEAE6FF3262264CC95.pem"
"563j","Threshold Communications Inc","SHAKEN 563j","https://cr.sansay.com/563j/429C7C70711E3820F0B8E1DEAE6FF3262264CB73.pem"
"579K","Mango Voice LLC","SHAKEN Mango Voice LLC 579K","https://cr.sansay.com/579K/429C7C70711E3820F0B8E1DEAE6FF3262264CDB6.pem"
"579K","Mango Voice LLC","SHAKEN Mango Voice LLC 579K","https://cr.sansay.com/579K/429C7C70711E3820F0B8E1DEAE6FF3262264CB8B.pem"
"579K","Mango Voice LLC","SHAKEN Mango Voice LLC 579K","https://cr.sansay.com/579K/429C7C70711E3820F0B8E1DEAE6FF3262264CD6D.pem"
"579K","Mango Voice LLC","SHAKEN Mango Voice LLC 579K","https://cr.sansay.com/579K/429C7C70711E3820F0B8E1DEAE6FF3262264CC53.pem"
"579K","Mango Voice LLC","SHAKEN Mango Voice LLC 579K","https://cr.sansay.com/579K/429C7C70711E3820F0B8E1DEAE6FF3262264CC33.pem"
"579K","Mango Voice LLC","SHAKEN Mango Voice LLC 579K","https://cr.sansay.com/579K/429C7C70711E3820F0B8E1DEAE6FF3262264CB50.pem"
"579K","Mango Voice LLC","SHAKEN Mango Voice LLC 579K","https://cr.sansay.com/579K/429C7C70711E3820F0B8E1DEAE6FF3262264CAA1.pem"
"579K","Mango Voice LLC","SHAKEN Mango Voice LLC 579K","https://cr.sansay.com/579K/429C7C70711E3820F0B8E1DEAE6FF3262264CA7C.pem"
"583J","Broadband Dynamics LLC","SHAKEN 583J Broadband Dynamics LLC","https://cr.sansay.com/583J/429C7C70711E3820F0B8E1DEAE6FF3262264BA80.pem"
"590J","Star2Star Communications, LLC","SHAKEN Star2Star Communications, LLC 590J","https://cr.sansay.com/590J/429C7C70711E3820F0B8E1DEAE6FF3262264AF3E.pem"
"596J","Nobelbiz, Inc.","SHAKEN 596J","https://cr.sansay.com/596J/429C7C70711E3820F0B8E1DEAE6FF3262264CB7E.pem"
"597F","VoIP Innovations","SHAKEN 597F","https://ssc.getsipnav.com/certs/0cefca1faca6441ad0a2a49a4bd07426e9a8ed8d"
"599J","Technology Innovation Lab","SHAKEN 599J Technology Innovation Lab","https://certificates.smartcarrier.io/bc8a54f95e4549bc87884594162cf9402a907fd5.cer"
"616K","Peachnet LLC","SHAKEN 616K","https://cr.sansay.com/616K/429C7C70711E3820F0B8E1DEAE6FF3262264C010.pem"
"617K","Identidad Advertising Development LLC","SHAKEN 617K","https://cr.sansay.com/617K/429C7C70711E3820F0B8E1DEAE6FF3262264C042.pem"
"630J","OneStream Networks, LLC","SHAKEN 630J","https://cr.sansay.com/630J/429C7C70711E3820F0B8E1DEAE6FF3262264BFD8.pem"
"633J","Phone.com, Inc.","SHAKEN 633J","https://cr.sansay.com/633J/429C7C70711E3820F0B8E1DEAE6FF3262264CB79.pem"
"634K","Mercury Access Solutions","SHAKEN 634K","https://cr.sansay.com/634K/429C7C70711E3820F0B8E1DEAE6FF3262264BFDE.pem"
"644J","Bulk Solutions, LLC","SHAKEN 644J Bulk Solutions, LLC","https://bulkvs-cr.s3.amazonaws.com/644J_2024120301.pem"
"647K","Zella Technologies LLC","SHAKEN Zella Technologies LLC 647K","https://cr.sansay.com/647K/429C7C70711E3820F0B8E1DEAE6FF3262264CBE7.pem"
"649J","Inventive Labs Corp","SHAKEN 649J","https://cr.sansay.com/649J/429C7C70711E3820F0B8E1DEAE6FF3262264BFE4.pem"
"652J","IPitomy","SHAKEN 652J","https://cr.sansay.com/652J/429C7C70711E3820F0B8E1DEAE6FF3262264CB78.pem"
"683A","Touchtone","SHAKEN 683A","https://cr.sansay.com/683A/429C7C70711E3820F0B8E1DEAE6FF3262264CB75.pem"
"684J","Fonative, Inc.","SHAKEN 684J","https://cr.sansay.com/684J/429C7C70711E3820F0B8E1DEAE6FF3262264CB77.pem"
"688K","Call Hub Inc.","SHAKEN 688K Call Hub Inc.","https://cdn.cnxcdn.com/shaken/ec993ad525.crt"
"688K","CH22082024 688K","SHAKEN 688K Call Hub Inc.","https://callhub.46labs.com/callhub.pem"
"694K","Icon Global Services Ltd","SHAKEN 694K Icon Global Services Ltd","https://xfone.us/brxjpch/8"
"696J","Telcentris Inc. dba Voxox","SHAKEN 696J Telcentris Inc. dba Voxox","https://cr.sansay.com/696J/429C7C70711E3820F0B8E1DEAE6FF3262264B5CB.pem"
"703J","Ytel Inc.","SHAKEN 703J","https://cr.sansay.com/703J/429C7C70711E3820F0B8E1DEAE6FF3262264C04D.pem"
"711K","Contactivity Corp.","SHAKEN 711K","https://ssc.getsipnav.com/certs/2b0bc92ebf4882b7c359a5c9b1894e9170775f99"
