OCN,Org Name,CN,Cert
"4427","Ziply Fiber","SHAKEN 4427","https://cr.ccid.neustar.biz/ccid/authn/v2/certs/11128.10904.pem"
"455J","Mobex","SHAKEN 455J","https://cr-partner.ccid.neustar.biz/ccid/authn/v2/certs/300.641"
"465J","LiveVox Inc","SHAKEN 465J","https://stir.na3.livevox.com/cert/R9ffltfL"
"473G","Telengy LLC","SHAKEN 473G","https://cr.ccid.neustar.biz/ccid/authn/v2/certs/11538.10900.pem"
"4852","Firstcomm","SHAKEN 4852","https://cr.ccid.neustar.biz/ccid/authn/v2/certs/11168.10898.pem"
"500J","GoTo Communication","SHAKEN 500J","https://pstn-cdn.live.gtc.goto.com/certs/stirshaken/goto-2025-07"
"502E","AccessLine Communications Corp","SHAKEN 502E","https://sscerts.accessline.com/sscerts/Cert-US-04-2025.crt"
"502J","Piratel LLC","SHAKEN 502J","https://certificates.piratel.com/piratel_20240813.crt"
"506J","Twilio International Inc","SHAKEN 506J","https://cr.ccid.neustar.biz/ccid/authn/v2/certs/11604.10770.pem"
"508K","Tata Communications (America) Inc","SHAKEN 508K","https://cr.ccid.neustar.biz/ccid/authn/v2/certs/11594.10433.pem"
"510J","Simwood Inc","SHAKEN 510J","https://cdn.simwood.com/shaken/simwood.crt"
"534J","UComTel Inc","SHAKEN 534J","https://cr-partner.ccid.neustar.biz/ccid/authn/v2/certs/145.485"
"537K","iBasis, Inc","SHAKEN 537K","https://cr.ccid.neustar.biz/ccid/authn/v2/certs/11592.10943.pem"
"5447","Access One Inc","SHAKEN 5447","https://cr.ccid.neustar.biz/ccid/authn/v2/certs/11528.10883.pem"
"546J","TRUSTID Inc","SHAKEN 546J","https://cr.ccid.neustar.biz/ccid/authn/v2/certs/11148.10885.pem"
"5493","Netcarrier Telecom Inc","SHAKEN 5493","https://cr-partner.ccid.neustar.biz/ccid/authn/v2/certs/95.610"
"554J","Jivetel LLC","SHAKEN 554J","https://cr.ccid.neustar.biz/ccid/authn/v2/certs/11556.10423.pem"
"558a","D&P Communications","SHAKEN 558a","https://cr.ccid.neustar.biz/ccid/authn/v2/certs/11569.10725.pem"
"5606","Charter Communications, Inc.","SHAKEN 5606","https://shaken.spectrum.com/a9214dea8d75b74eb4717f01ceecf0ad.cer"
"567G","Teliax Inc","SHAKEN 567G","https://cr.ccid.neustar.biz/ccid/authn/v2/certs/11316.10798.pem"
"573J","Voyant Communications, LLC","SHAKEN 573J","https://cr-partner.ccid.neustar.biz/ccid/authn/v2/certs/49.762"
"598J","Five9 Inc","SHAKEN 598J","https://cr.ccid.neustar.biz/ccid/authn/v2/certs/11200.10914.pem"
"653K","NGN LATAM Corp","SHAKEN 653K","https://ssc.getsipnav.com/certs/810723d5a9f926973ae9e237f68202bf55cbb52f"
"669B","BTC Broadband","SHAKEN 669B","https://cr.ccid.neustar.biz/ccid/authn/v2/certs/11408.10432.pem"
"672J","Zoom Voice Communications","SHAKEN 672J","https://cr-partner.ccid.neustar.biz/ccid/authn/v2/certs/134.736"
"689H","FluentStream Technologies LLC","SHAKEN 689H","https://cr.ccid.neustar.biz/ccid/authn/v2/certs/11816.10793.pem"
"692J","EssexTel Inc","SHAKEN 692J","https://essextel.peeredge.com/cert/U9FNez2N.pem"
"697J","Coeo Solutions","SHAKEN 697J","https://prod001-prod011-cr.rbbnidhub.com/OesNvM4ngz/6"
"697J","Coeo Solutions","SHAKEN 697J","https://prod001-prod011-cr.rbbnidhub.com/OesNvM4ngz/5"
"700H","Metro Fibernet LLC","SHAKEN 700H","https://cr-partner.ccid.neustar.biz/ccid/authn/v2/certs/142.735"
"701J","MASH Telecom","SHAKEN 701J","https://ssc.getsipnav.com/certs/1b45d7701464b37e26ba8a8a9e1d0a7a4fc68285"
"704J","Clearly Ip Inc","SHAKEN 704J","https://r.stir.tel/704J/260312152450Z/cert.pem"
"7076","Midcontinent Communications","SHAKEN 7076","https://cr.ccid.neustar.biz/ccid/authn/v2/certs/11158.10790.pem"
"707J","TextNow Inc","SHAKEN 707J","https://pki.tncp.textnow.com/stage-2024/stir-shaken-textnow-cert.pem"
"709J","Low Latency Communications LLC","SHAKEN 709J","https://cr-partner.ccid.neustar.biz/ccid/authn/v2/certs/77.598"
"710A","Allo Communications LLC","SHAKEN 710A","https://cr.ccid.neustar.biz/ccid/authn/v2/certs/11438.10759.pem"
"7126","Altice USA","SHAKEN 7126","https://cr.ccid.neustar.biz/ccid/authn/v2/certs/11629.10763.pem"
"712J","ANPI Business, LLC","SHAKEN 712J","https://cr-partner.ccid.neustar.biz/ccid/authn/v2/certs/87.752"
"715J","CoreDial, LLC","SHAKEN 715J","https://cr.ccid.neustar.biz/ccid/authn/v2/certs/11430.10576.pem"
"738J","BCM One Cloud Communications Inc","SHAKEN 738J","https://certs.iverify-aninetworks.net/bcm_20260416.crt"
"739J","Unified Global Solutions LLC","SHAKEN 739J","https://cr-partner.ccid.neustar.biz/ccid/authn/v2/certs/158.668"
"745J","TextMe Incorporated","SHAKEN 745J","https://textme-stirshaken.s3.us-west-2.amazonaws.com/textme_20250927.pem"
"750J","Microtalk Europe Limited","SHAKEN 750J","https://cdn.cnxcdn.com/shaken/bb327a8979.crt"
"7575","Lumen","SHAKEN 7575","https://cr.ccid.neustar.biz/ccid/authn/v2/certs/12837.10768.pem"
"765J","Verge Network Solutions LLC","SHAKEN 765J","https://cr-partner.ccid.neustar.biz/ccid/authn/v2/certs/129.571"
"7661","Cox Communications Inc","SHAKEN 7661","https://cr.ccid.neustar.biz/ccid/authn/v2/certs/11126.10897.pem"
"766C","France Telecom Corporate Solutions LLC","SHAKEN 766C","https://cr.ccid.neustar.biz/ccid/authn/v2/certs/11182.10890.pem"
"773J","Binary Ventures Inc","SHAKEN 773J","https://sti.comsapi.com/773j/ca.crt"
"776J","2600HZ INC","SHAKEN 776J","https://cr-partner.ccid.neustar.biz/ccid/authn/v2/certs/278.621"
